Scheme Name,URL
Birth Certificate,https://www.india.gov.in/gsearch?s=Birth%20Certificate
Driving Licence,https://www.india.gov.in/gsearch?s=Driving%20Licence
Pan card,https://www.india.gov.in/gsearch?s=Pan%20card
Schemes for women by Department of Women and Child Development,https://wcd.gov.in/offerings/mission-guidelines
Share This,javascript: void(0);
Balika Samriddhi Yojana by the Ministry of Women and Child Development,http://megsocialwelfare.gov.in/icds_balika.html
Share This,javascript: void(0);
Website of State Resource Centre for Women of Nagaland,http://srcw.nagaland.gov.in/
Share This,javascript: void(0);
Support to Training and Employment Programme for Women,https://www.startupindia.gov.in/content/sih/en/government-schemes/support_to_training_and_employment_programme.html
Share This,javascript: void(0);
"Ujjawala Scheme for Prevention of Trafficking and Rescue, Rehabilitation and Reintegration of Victims of Trafficking",https://womenandchildren.assam.gov.in/sites/default/files/Ujjawala%20New%20Scheme.pdf
Share This,javascript: void(0);
Rajiv Gandhi Scheme for Empowerment of Adolescent Girls: Sabla,https://www.nipccd.nic.in/file/elearn/faq/fq27.pdf
Share This,javascript: void(0);
Scheme of Short Stay Homes for Women and Girls,https://wcd.gov.in/offerings/mission-guidelines
Share This,javascript: void(0);
Integrated Child Protection Scheme,http://cara.nic.in/PDF/revised%20ICPS%20scheme.pdf
Share This,javascript: void(0);
Gender Budgeting Scheme,https://wcd.gov.in/documents/report
Share This,javascript: void(0);
Early Childhood Education for 3-6 Age Group Children,https://ncert.nic.in/dee/pdf/guidelines-for-preschool.pdf
Share This,javascript: void(0);
Proforma for Empanelment of Resource Persons for Gender Budgeting,https://wcd.gov.in/documents/report
Share This,javascript: void(0);
Proforma for basic information for review of Swadhar and Short Stay Homes,https://wcd.gov.in/offerings/mission-guidelines
Share This,javascript: void(0);
Revised Guidelines and Application Format on Support to Training and Employment Programme for Women,https://wcd.gov.in/offerings/mission-guidelines
Share This,javascript: void(0);
"Guidelines and Applications Forms for Ujjawala Scheme for Prevention of Trafficking and Rescue, Rehabilitation and Reintegration of Victims of Trafficking",https://womenandchildren.assam.gov.in/sites/default/files/Ujjawala%20New%20Scheme.pdf
Share This,javascript: void(0);
Proforma for Submission of Quarterly Progress Report on Early Childhood Education Centres for 3-6 years Age Group Children,https://ncert.nic.in/dee/pdf/guidelines-for-preschool.pdf
Share This,javascript: void(0);
Format for submission of Basic Information on Early Childhood Education Centres for Children of 3-6 Age Group as per Application,https://ncert.nic.in/dee/pdf/guidelines-for-preschool.pdf
Share This,javascript: void(0);
Birth Certificate,https://www.india.gov.in/gsearch?s=Birth%20Certificate
Driving Licence,https://www.india.gov.in/gsearch?s=Driving%20Licence
Pan card,https://www.india.gov.in/gsearch?s=Pan%20card
Schemes for women by Department of Women and Child Development,https://wcd.gov.in/offerings/mission-guidelines
Share This,javascript: void(0);
"Nari Shakti Purskar, Ministry of Women & Child Development",https://static.pib.gov.in/WriteReadData/specificdocs/documents/2022/mar/doc20223823201.pdf
Share This,javascript: void(0);
"Mahila Police Volunteers, Ministry of Women & Child Development",https://missionshakti.wcd.gov.in/
Share This,javascript: void(0);
General Grant-in-Aid Scheme in the field of Women and Child Development,https://wcd.delhi.gov.in/wcd/grant-aid-schemes-0
Share This,javascript: void(0);
"Grant-in-Aid for Research, Publication and Monitoring",https://wcd.delhi.gov.in/wcd/grant-aid-schemes-0
Share This,javascript: void(0);
Website of SHe-Box Online Complaint Management System,https://shebox.wcd.gov.in/
Share This,javascript: void(0);
Website of National Repository of Information for Women (NARI),https://vikaspedia.gov.in/e-governance/women-and-e-governance/national-repository-of-information-for-women
Share This,javascript: void(0);
Demand for Grants for Ministry of Women & Child Development,https://wcd.gov.in/documents/report-dbg
Share This,javascript: void(0);
National Nutrition Mission,https://www.indiascienceandtechnology.gov.in/st-visions/national-mission/poshan-abhiyaan-national-nutrition-mission-nnm
Share This,javascript: void(0);
Prime Minister's Citizen Assistance and Relief in Emergency Situation (PM CARES),https://www.pmcares.gov.in/en/
Share This,javascript: void(0);
Scheme for Adolescent Girls (SAG),https://www.wcd.gov.in/images/uploaded/1706599962_GW1l1U0D10.pdf#page=39
Share This,javascript: void(0);
National Policy for Children,https://missionvatsalya.wcd.gov.in/public/pdf/children-related-law/NATIONAL%20POLICY%20ON%20CHILDREN%202013.pdf
Share This,javascript: void(0);
National Creche Scheme for the Children of Working Mothers,https://missionshakti.wcd.gov.in/public/documents/whatsnew/Mission_Shakti_Guidelines.pdf
Share This,javascript: void(0);
Child development initiatives by Ministry of Women and Child Development,https://www.nipccd.nic.in/schemes/national-children-fund-28
Share This,javascript: void(0);
Grant-in-Aid Scheme for Assistance to Voluntary Organisations in the Field of Women and Child Development,https://wcd.delhi.gov.in/wcd/grant-aid-schemes-0
Share This,javascript: void(0);
Budgeting for gender equity by Ministry of Women and Child Development,https://loksabhadocs.nic.in/Refinput/Research_notes/English/Gender_budgeting_Eng.pdf
Share This,javascript: void(0);
Birth Certificate,https://www.india.gov.in/gsearch?s=Birth%20Certificate
Driving Licence,https://www.india.gov.in/gsearch?s=Driving%20Licence
Pan card,https://www.india.gov.in/gsearch?s=Pan%20card
